id,algoritmo,h_inicial,profundidade,nos_expandidos,tempo_ms,resolvido,limite
1,IDA*,43,57,7008255,7878.51,sim,nao
2,IDA*,43,55,3374368,3703.40,sim,nao
3,IDA*,41,-,20000027,19693.77,nao,sim
4,IDA*,42,-,20000017,20336.09,nao,sim
5,IDA*,44,56,2512649,2448.75,sim,nao
6,IDA*,40,52,4203855,4974.50,sim,nao
7,IDA*,30,-,20000008,21216.03,nao,sim
8,IDA*,36,50,4562622,4956.32,sim,nao
9,IDA*,36,46,83163,89.16,sim,nao
10,IDA*,45,-,20000015,20126.45,nao,sim
11,IDA*,45,-,20000009,21221.89,nao,sim
12,IDA*,35,45,200524,204.22,sim,nao
13,IDA*,38,46,1463211,1630.18,sim,nao
14,IDA*,43,-,20000021,20099.43,nao,sim
15,IDA*,46,-,20000021,19634.94,nao,sim
16,IDA*,26,42,2201111,1349.84,sim,nao
17,IDA*,46,-,20000021,9911.01,nao,sim
18,IDA*,43,55,7310292,3664.23,sim,nao
19,IDA*,38,46,465233,288.84,sim,nao
20,IDA*,36,52,4131131,2568.55,sim,nao
21,IDA*,36,54,11832331,6466.85,sim,nao
22,IDA*,45,-,20000016,10666.40,nao,sim
23,IDA*,37,49,400590,190.13,sim,nao
24,IDA*,40,54,18961703,10607.63,sim,nao
25,IDA*,36,52,8767186,5938.06,sim,nao
26,IDA*,44,-,20000016,11215.90,nao,sim
27,IDA*,37,53,18362086,9082.43,sim,nao
28,IDA*,36,52,1745047,1129.48,sim,nao
29,IDA*,40,54,4711031,2625.35,sim,nao
30,IDA*,35,47,671179,392.18,sim,nao
31,IDA*,40,50,588771,335.58,sim,nao
32,IDA*,45,-,20000021,10402.18,nao,sim
33,IDA*,42,60,17643455,9521.58,sim,nao
34,IDA*,42,52,1305202,821.15,sim,nao
35,IDA*,39,55,11925069,6656.17,sim,nao
36,IDA*,38,52,7130677,4167.80,sim,nao
37,IDA*,42,-,20000021,11407.61,nao,sim
38,IDA*,43,53,4523766,2304.26,sim,nao
39,IDA*,35,49,3374115,2035.89,sim,nao
40,IDA*,38,54,12974587,6961.03,sim,nao
41,IDA*,42,54,15981413,8363.23,sim,nao
42,IDA*,32,42,249535,159.56,sim,nao
43,IDA*,56,64,9609075,4569.23,sim,nao
44,IDA*,38,50,1727681,985.56,sim,nao
45,IDA*,39,51,1497003,846.03,sim,nao
46,IDA*,41,49,1347784,712.47,sim,nao
47,IDA*,35,47,233249,153.17,sim,nao
48,IDA*,39,49,245465,142.77,sim,nao
49,IDA*,37,-,20000013,10866.00,nao,sim
50,IDA*,41,53,2654909,1293.18,sim,nao
51,IDA*,44,56,6335733,3474.83,sim,nao
52,IDA*,42,-,20000015,9630.99,nao,sim
53,IDA*,50,-,20000033,9723.25,nao,sim
54,IDA*,42,56,14856299,7235.50,sim,nao
55,IDA*,31,41,77633,47.07,sim,nao
56,IDA*,33,-,20000015,10597.25,nao,sim
57,IDA*,36,50,3063963,1480.74,sim,nao
58,IDA*,41,51,1671110,895.17,sim,nao
59,IDA*,39,-,20000021,14686.41,nao,sim
60,IDA*,48,-,20000013,18847.28,nao,sim
61,IDA*,35,45,700605,712.32,sim,nao
62,IDA*,45,-,20000019,20317.70,nao,sim
63,IDA*,44,56,16059243,16717.50,sim,nao
64,IDA*,35,-,20000021,21672.13,nao,sim
65,IDA*,35,47,2087869,1562.98,sim,nao
66,IDA*,43,-,20000021,12604.22,nao,sim
67,IDA*,32,-,20000012,13410.29,nao,sim
68,IDA*,35,51,7256594,5044.00,sim,nao
69,IDA*,39,53,4560287,3007.16,sim,nao
70,IDA*,32,-,20000021,11592.27,nao,sim
71,IDA*,34,44,189759,117.34,sim,nao
72,IDA*,40,-,20000022,11862.31,nao,sim
73,IDA*,39,49,1116419,677.20,sim,nao
74,IDA*,46,56,287687,293.01,sim,nao
75,IDA*,34,48,6399054,3469.69,sim,nao
76,IDA*,43,57,18474127,9786.54,sim,nao
77,IDA*,38,54,5809263,3536.54,sim,nao
78,IDA*,41,53,2438202,1223.80,sim,nao
79,IDA*,30,42,98967,88.74,sim,nao
80,IDA*,43,57,8806574,5200.96,sim,nao
81,IDA*,41,53,2260109,1407.60,sim,nao
82,IDA*,44,-,20000014,10325.32,nao,sim
83,IDA*,37,49,2137213,1212.64,sim,nao
84,IDA*,43,-,20000020,15788.04,nao,sim
85,IDA*,32,44,571932,332.31,sim,nao
86,IDA*,37,45,255188,147.30,sim,nao
87,IDA*,36,52,7460884,5520.47,sim,nao
88,IDA*,45,-,20000024,18341.53,nao,sim
89,IDA*,40,54,17030713,20127.51,sim,nao
90,IDA*,40,50,727070,722.09,sim,nao
91,IDA*,41,-,20000017,22029.58,nao,sim
92,IDA*,39,-,20000015,18028.16,nao,sim
93,IDA*,34,46,350022,407.00,sim,nao
94,IDA*,45,53,67308,75.34,sim,nao
95,IDA*,36,50,852551,1102.55,sim,nao
96,IDA*,37,49,1106346,1448.32,sim,nao
97,IDA*,34,44,278721,348.01,sim,nao
98,IDA*,34,-,20000016,26348.51,nao,sim
99,IDA*,39,-,20000014,23205.92,nao,sim
100,IDA*,40,-,20000023,22635.69,nao,sim
