id,algoritmo,h_inicial,profundidade,nos_expandidos,tempo_ms,resolvido,limite
1,A*,16,20,205,3.39,sim,nao
2,A*,15,21,507,3.36,sim,nao
3,A*,15,25,1999,6.62,sim,nao
4,A*,17,21,206,3.67,sim,nao
5,A*,14,22,331,4.06,sim,nao
6,A*,14,14,22,3.94,sim,nao
7,A*,12,22,870,4.94,sim,nao
8,A*,15,17,76,6.67,sim,nao
9,A*,15,23,697,42.26,sim,nao
10,A*,13,21,359,3.99,sim,nao
11,A*,15,25,1821,8.02,sim,nao
12,A*,11,19,463,3.13,sim,nao
13,A*,15,19,140,5.38,sim,nao
14,A*,14,26,2672,8.15,sim,nao
15,A*,13,19,268,4.57,sim,nao
16,A*,20,28,4949,12.99,sim,nao
17,A*,12,18,146,8.64,sim,nao
18,A*,17,23,589,3.42,sim,nao
19,A*,18,26,2293,5.00,sim,nao
20,A*,14,24,1236,34.34,sim,nao
21,A*,18,22,216,4.96,sim,nao
22,A*,14,22,315,3.90,sim,nao
23,A*,9,19,355,5.74,sim,nao
24,A*,10,18,263,3.51,sim,nao
25,A*,9,17,210,5.55,sim,nao
26,A*,15,25,1278,3.49,sim,nao
27,A*,15,21,309,3.00,sim,nao
28,A*,17,23,1109,3.53,sim,nao
29,A*,13,19,291,5.04,sim,nao
30,A*,16,24,879,6.92,sim,nao
31,A*,14,22,496,5.17,sim,nao
32,A*,14,20,268,3.41,sim,nao
33,A*,12,24,1342,4.34,sim,nao
34,A*,15,23,789,7.11,sim,nao
35,A*,10,20,530,2.04,sim,nao
36,A*,13,21,703,4.67,sim,nao
37,A*,14,20,448,6.84,sim,nao
38,A*,14,18,128,3.00,sim,nao
39,A*,18,24,783,4.46,sim,nao
40,A*,15,19,198,7.11,sim,nao
41,A*,14,18,153,3.00,sim,nao
42,A*,11,19,333,3.51,sim,nao
43,A*,13,19,224,7.74,sim,nao
44,A*,14,20,270,19.76,sim,nao
45,A*,10,10,11,8.02,sim,nao
46,A*,18,26,2597,7.49,sim,nao
47,A*,14,24,1125,5.70,sim,nao
48,A*,15,17,91,2.74,sim,nao
49,A*,9,19,403,5.81,sim,nao
50,A*,14,20,420,3.00,sim,nao
51,A*,12,18,190,3.19,sim,nao
52,A*,11,17,153,4.78,sim,nao
53,A*,11,11,14,3.27,sim,nao
54,A*,14,18,79,3.28,sim,nao
55,A*,12,20,512,6.01,sim,nao
56,A*,16,26,2110,6.18,sim,nao
57,A*,18,24,659,4.06,sim,nao
58,A*,16,20,133,2.87,sim,nao
59,A*,17,27,3008,5.45,sim,nao
60,A*,16,18,84,4.33,sim,nao
61,A*,17,21,175,2.51,sim,nao
62,A*,13,23,1001,4.46,sim,nao
63,A*,13,19,312,5.10,sim,nao
64,A*,18,28,4742,9.57,sim,nao
65,A*,14,20,338,3.87,sim,nao
66,A*,16,28,5612,12.53,sim,nao
67,A*,15,19,113,3.50,sim,nao
68,A*,15,23,726,2.97,sim,nao
69,A*,17,21,206,4.88,sim,nao
70,A*,14,18,92,3.01,sim,nao
71,A*,14,20,203,5.29,sim,nao
72,A*,16,28,4860,38.96,sim,nao
73,A*,13,21,492,4.29,sim,nao
74,A*,20,22,112,2.30,sim,nao
75,A*,17,21,99,2.04,sim,nao
76,A*,18,22,274,3.14,sim,nao
77,A*,18,24,417,3.18,sim,nao
78,A*,18,24,800,4.83,sim,nao
79,A*,18,26,1906,6.54,sim,nao
80,A*,17,23,563,3.02,sim,nao
81,A*,15,23,659,2.54,sim,nao
82,A*,17,25,1898,5.67,sim,nao
83,A*,15,21,211,6.89,sim,nao
84,A*,15,23,767,4.11,sim,nao
85,A*,17,25,1407,4.86,sim,nao
86,A*,17,23,749,7.01,sim,nao
87,A*,13,25,2128,5.04,sim,nao
88,A*,17,25,1397,4.34,sim,nao
89,A*,16,26,2598,9.96,sim,nao
90,A*,14,24,2060,6.50,sim,nao
91,A*,17,25,1062,16.37,sim,nao
92,A*,14,22,294,5.16,sim,nao
93,A*,18,22,254,6.23,sim,nao
94,A*,14,20,258,4.22,sim,nao
95,A*,14,22,642,3.42,sim,nao
96,A*,15,23,654,2.00,sim,nao
97,A*,10,16,180,3.57,sim,nao
98,A*,9,11,30,2.18,sim,nao
99,A*,12,18,200,3.45,sim,nao
100,A*,19,25,1339,3.22,sim,nao
