id,algoritmo,h_inicial,profundidade,nos_expandidos,tempo_ms,resolvido,limite
1,BFS,16,20,27918,19.94,sim,nao
2,BFS,13,21,47745,32.89,sim,nao
3,BFS,13,25,133996,106.70,sim,nao
4,BFS,17,21,54966,39.08,sim,nao
5,BFS,14,22,65083,47.14,sim,nao
6,BFS,14,14,2319,3.85,sim,nao
7,BFS,10,22,58584,68.60,sim,nao
8,BFS,13,17,9670,10.42,sim,nao
9,BFS,15,23,89130,88.83,sim,nao
10,BFS,13,21,45878,31.77,sim,nao
11,BFS,15,25,125534,91.37,sim,nao
12,BFS,7,19,25816,13.78,sim,nao
13,BFS,15,19,20452,11.55,sim,nao
14,BFS,14,26,148832,89.78,sim,nao
15,BFS,13,19,25533,16.28,sim,nao
16,BFS,14,28,178383,160.04,sim,nao
17,BFS,10,18,12767,8.36,sim,nao
18,BFS,17,23,82987,60.84,sim,nao
19,BFS,16,26,157157,126.33,sim,nao
20,BFS,14,24,102859,78.74,sim,nao
21,BFS,14,22,67542,54.34,sim,nao
22,BFS,14,22,67521,48.33,sim,nao
23,BFS,9,19,23365,19.13,sim,nao
24,BFS,8,18,14273,12.14,sim,nao
25,BFS,7,17,9807,6.00,sim,nao
26,BFS,15,25,138057,98.59,sim,nao
27,BFS,15,21,42844,30.59,sim,nao
28,BFS,13,23,85069,58.15,sim,nao
29,BFS,11,19,23740,14.61,sim,nao
30,BFS,16,24,107107,71.19,sim,nao
31,BFS,12,22,56995,35.15,sim,nao
32,BFS,12,20,36947,23.16,sim,nao
33,BFS,12,24,97192,63.90,sim,nao
34,BFS,15,23,93693,71.17,sim,nao
35,BFS,10,20,32501,21.08,sim,nao
36,BFS,13,21,44471,31.21,sim,nao
37,BFS,12,20,35306,24.94,sim,nao
38,BFS,12,18,14933,10.59,sim,nao
39,BFS,14,24,113866,80.82,sim,nao
40,BFS,11,19,21884,15.69,sim,nao
41,BFS,10,18,20397,16.58,sim,nao
42,BFS,9,19,20475,15.09,sim,nao
43,BFS,13,19,22058,17.03,sim,nao
44,BFS,14,20,28265,19.61,sim,nao
45,BFS,10,10,290,1.12,sim,nao
46,BFS,16,26,161618,122.59,sim,nao
47,BFS,12,24,106665,77.76,sim,nao
48,BFS,13,17,12158,7.60,sim,nao
49,BFS,9,19,25386,16.86,sim,nao
50,BFS,10,20,37381,26.39,sim,nao
51,BFS,10,18,14902,9.92,sim,nao
52,BFS,11,17,11427,7.16,sim,nao
53,BFS,11,11,720,1.01,sim,nao
54,BFS,14,18,14801,8.92,sim,nao
55,BFS,12,20,35987,21.98,sim,nao
56,BFS,14,26,144224,102.78,sim,nao
57,BFS,18,24,99329,64.66,sim,nao
58,BFS,14,20,26969,15.54,sim,nao
59,BFS,17,27,161784,112.29,sim,nao
60,BFS,16,18,12477,9.11,sim,nao
61,BFS,17,21,56791,37.43,sim,nao
62,BFS,13,23,82255,57.88,sim,nao
63,BFS,11,19,21886,13.72,sim,nao
64,BFS,14,28,173773,225.49,sim,nao
65,BFS,12,20,28189,33.95,sim,nao
66,BFS,16,28,172950,187.77,sim,nao
67,BFS,15,19,28064,43.20,sim,nao
68,BFS,15,23,79726,105.91,sim,nao
69,BFS,17,21,50530,52.85,sim,nao
70,BFS,14,18,17336,23.16,sim,nao
71,BFS,14,20,29658,40.32,sim,nao
72,BFS,16,28,172219,183.97,sim,nao
73,BFS,9,21,50606,49.67,sim,nao
74,BFS,18,22,60973,57.07,sim,nao
75,BFS,17,21,46815,57.18,sim,nao
76,BFS,16,22,70937,73.47,sim,nao
77,BFS,18,24,100006,100.50,sim,nao
78,BFS,18,24,108110,113.80,sim,nao
79,BFS,14,26,152720,164.87,sim,nao
80,BFS,15,23,87040,84.45,sim,nao
81,BFS,13,23,82621,81.56,sim,nao
82,BFS,15,25,135434,152.29,sim,nao
83,BFS,15,21,51396,71.32,sim,nao
84,BFS,13,23,91412,106.83,sim,nao
85,BFS,15,25,140762,142.14,sim,nao
86,BFS,13,23,87879,122.57,sim,nao
87,BFS,13,25,125710,174.99,sim,nao
88,BFS,17,25,124518,140.29,sim,nao
89,BFS,14,26,147384,143.58,sim,nao
90,BFS,12,24,115672,120.99,sim,nao
91,BFS,17,25,139581,171.11,sim,nao
92,BFS,14,22,66137,84.94,sim,nao
93,BFS,18,22,72185,88.27,sim,nao
94,BFS,12,20,35007,38.54,sim,nao
95,BFS,12,22,62984,69.00,sim,nao
96,BFS,15,23,89215,102.92,sim,nao
97,BFS,6,16,5241,4.50,sim,nao
98,BFS,9,11,755,1.06,sim,nao
99,BFS,8,18,16138,13.32,sim,nao
100,BFS,17,25,134491,181.25,sim,nao
