id,algoritmo,h_inicial,profundidade,nos_expandidos,tempo_ms,resolvido,limite
1,A*,43,-,500001,2021.82,nao,sim
2,A*,43,-,500001,2239.53,nao,sim
3,A*,41,-,500001,1961.18,nao,sim
4,A*,42,-,500001,2599.07,nao,sim
5,A*,44,-,500001,1998.64,nao,sim
6,A*,40,-,500001,2455.74,nao,sim
7,A*,30,-,500001,2485.21,nao,sim
8,A*,36,-,500001,3076.26,nao,sim
9,A*,36,46,98889,225.98,sim,nao
10,A*,45,-,500001,1922.36,nao,sim
11,A*,45,-,500001,3405.55,nao,sim
12,A*,35,45,54217,140.30,sim,nao
13,A*,38,46,314006,1715.50,sim,nao
14,A*,43,-,500001,5736.11,nao,sim
15,A*,46,-,500001,2120.12,nao,sim
16,A*,26,42,325107,1394.93,sim,nao
17,A*,46,-,500001,2222.29,nao,sim
18,A*,43,-,500001,1707.23,nao,sim
19,A*,38,46,229907,724.45,sim,nao
20,A*,36,-,500001,3427.67,nao,sim
21,A*,36,-,500001,2144.33,nao,sim
22,A*,45,-,500001,2739.83,nao,sim
23,A*,37,49,413194,2079.14,sim,nao
24,A*,40,-,500001,2780.38,nao,sim
25,A*,36,-,500001,5605.11,nao,sim
26,A*,44,-,500001,3249.58,nao,sim
27,A*,37,-,500001,3332.18,nao,sim
28,A*,36,-,500001,2507.91,nao,sim
29,A*,40,-,500001,2469.22,nao,sim
30,A*,35,47,273078,878.39,sim,nao
31,A*,40,50,229358,467.45,sim,nao
32,A*,45,-,500001,1770.58,nao,sim
33,A*,42,-,500001,3611.10,nao,sim
34,A*,42,-,500001,1852.39,nao,sim
35,A*,39,-,500001,4019.75,nao,sim
36,A*,38,-,500001,2364.19,nao,sim
37,A*,42,-,500001,3738.65,nao,sim
38,A*,43,-,500001,2266.09,nao,sim
39,A*,35,-,500001,2765.07,nao,sim
40,A*,38,-,500001,5038.16,nao,sim
41,A*,42,-,500001,1709.45,nao,sim
42,A*,32,42,59746,132.25,sim,nao
43,A*,56,-,500001,1692.85,nao,sim
44,A*,38,-,500001,2316.87,nao,sim
45,A*,39,51,383212,1868.66,sim,nao
46,A*,41,-,500001,4371.89,nao,sim
47,A*,35,47,138489,419.67,sim,nao
48,A*,39,49,92858,212.40,sim,nao
49,A*,37,-,500001,8277.70,nao,sim
50,A*,41,-,500001,1928.29,nao,sim
51,A*,44,-,500001,3136.20,nao,sim
52,A*,42,-,500001,1580.18,nao,sim
53,A*,50,-,500001,2517.83,nao,sim
54,A*,42,-,500001,1667.14,nao,sim
55,A*,31,41,37692,72.19,sim,nao
56,A*,33,-,500001,2210.87,nao,sim
57,A*,36,-,500001,2286.80,nao,sim
58,A*,41,-,500001,2921.68,nao,sim
59,A*,39,-,500001,2410.97,nao,sim
60,A*,48,-,500001,3766.61,nao,sim
61,A*,35,45,269443,694.92,sim,nao
62,A*,45,-,500001,2748.53,nao,sim
63,A*,44,-,500001,2980.68,nao,sim
64,A*,35,-,500001,4634.84,nao,sim
65,A*,35,-,500001,3501.83,nao,sim
66,A*,43,-,500001,2472.73,nao,sim
67,A*,32,-,500001,8634.03,nao,sim
68,A*,35,-,500001,2679.19,nao,sim
69,A*,39,-,500001,2142.29,nao,sim
70,A*,32,-,500001,2814.71,nao,sim
71,A*,34,44,154164,348.77,sim,nao
72,A*,40,-,500001,2032.94,nao,sim
73,A*,39,49,321338,686.41,sim,nao
74,A*,46,56,330646,958.35,sim,nao
75,A*,34,-,500001,2297.31,nao,sim
76,A*,43,-,500001,2135.88,nao,sim
77,A*,38,-,500001,4045.90,nao,sim
78,A*,41,-,500001,3401.58,nao,sim
79,A*,30,42,45331,109.00,sim,nao
80,A*,43,-,500001,1643.63,nao,sim
81,A*,41,-,500001,1538.60,nao,sim
82,A*,44,-,500001,3137.00,nao,sim
83,A*,37,49,434378,2154.40,sim,nao
84,A*,43,-,500001,2087.68,nao,sim
85,A*,32,44,214308,551.06,sim,nao
86,A*,37,45,128066,281.19,sim,nao
87,A*,36,-,500001,2233.31,nao,sim
88,A*,45,-,500001,2891.39,nao,sim
89,A*,40,-,500001,3997.76,nao,sim
90,A*,40,50,465174,3380.41,sim,nao
91,A*,41,-,500001,3661.42,nao,sim
92,A*,39,-,500001,2002.77,nao,sim
93,A*,34,46,306459,922.82,sim,nao
94,A*,45,53,96874,188.37,sim,nao
95,A*,36,-,500001,3139.14,nao,sim
96,A*,37,-,500001,2762.05,nao,sim
97,A*,34,44,146617,384.32,sim,nao
98,A*,34,-,500001,3104.68,nao,sim
99,A*,39,-,500001,3020.49,nao,sim
100,A*,40,-,500001,1811.49,nao,sim
