id,algoritmo,h_inicial,profundidade,nos_expandidos,tempo_ms,resolvido,limite
1,IDA*,43,57,7008255,2586.53,sim,nao
2,IDA*,43,55,3374368,1458.39,sim,nao
3,IDA*,41,-,50000024,21820.86,nao,sim
4,IDA*,42,56,20590782,10251.90,sim,nao
5,IDA*,44,56,2512649,1656.50,sim,nao
6,IDA*,40,52,4203855,1610.89,sim,nao
7,IDA*,30,-,50000016,26378.27,nao,sim
8,IDA*,36,50,4562622,1771.49,sim,nao
9,IDA*,36,46,83163,39.83,sim,nao
10,IDA*,45,-,50000018,18923.87,nao,sim
11,IDA*,45,57,24553631,9495.17,sim,nao
12,IDA*,35,45,200524,80.31,sim,nao
13,IDA*,38,46,1463211,599.88,sim,nao
14,IDA*,43,59,31530551,11835.83,sim,nao
15,IDA*,46,-,50000011,24120.59,nao,sim
16,IDA*,26,42,2201111,920.23,sim,nao
17,IDA*,46,-,50000009,26054.13,nao,sim
18,IDA*,43,55,7310292,2719.28,sim,nao
19,IDA*,38,46,465233,192.04,sim,nao
20,IDA*,36,52,4131131,1651.56,sim,nao
21,IDA*,36,54,11832331,6848.28,sim,nao
22,IDA*,45,-,50000015,23646.65,nao,sim
23,IDA*,37,49,400590,165.15,sim,nao
24,IDA*,40,54,18961703,11209.02,sim,nao
25,IDA*,36,52,8767186,3900.43,sim,nao
26,IDA*,44,-,50000022,27768.50,nao,sim
27,IDA*,37,53,18362086,7551.03,sim,nao
28,IDA*,36,52,1745047,703.97,sim,nao
29,IDA*,40,54,4711031,1983.12,sim,nao
30,IDA*,35,47,671179,273.38,sim,nao
31,IDA*,40,50,588771,250.07,sim,nao
32,IDA*,45,-,50000017,18962.61,nao,sim
33,IDA*,42,60,17643455,8520.89,sim,nao
34,IDA*,42,52,1305202,1242.74,sim,nao
35,IDA*,39,55,11925069,11361.57,sim,nao
36,IDA*,38,52,7130677,3457.00,sim,nao
37,IDA*,42,58,20050252,7900.86,sim,nao
38,IDA*,43,53,4523766,1861.21,sim,nao
39,IDA*,35,49,3374115,1424.42,sim,nao
40,IDA*,38,54,12974587,5359.22,sim,nao
41,IDA*,42,54,15981413,6605.65,sim,nao
42,IDA*,32,42,249535,106.55,sim,nao
43,IDA*,56,64,9609075,7929.47,sim,nao
44,IDA*,38,50,1727681,1723.27,sim,nao
45,IDA*,39,51,1497003,1387.73,sim,nao
46,IDA*,41,49,1347784,1242.73,sim,nao
47,IDA*,35,47,233249,222.63,sim,nao
48,IDA*,39,49,245465,225.93,sim,nao
49,IDA*,37,-,50000025,28243.59,nao,sim
50,IDA*,41,53,2654909,1147.78,sim,nao
51,IDA*,44,56,6335733,2571.09,sim,nao
52,IDA*,42,-,50000021,28453.97,nao,sim
53,IDA*,50,-,50000027,28337.05,nao,sim
54,IDA*,42,56,14856299,7854.16,sim,nao
55,IDA*,31,41,77633,47.64,sim,nao
56,IDA*,33,-,50000018,27495.05,nao,sim
57,IDA*,36,50,3063963,1430.90,sim,nao
58,IDA*,41,51,1671110,902.69,sim,nao
59,IDA*,39,-,50000021,27181.74,nao,sim
60,IDA*,48,-,50000025,25639.64,nao,sim
61,IDA*,35,45,700605,423.81,sim,nao
62,IDA*,45,57,25162938,14222.88,sim,nao
63,IDA*,44,56,16059243,7971.35,sim,nao
64,IDA*,35,51,35727031,20298.32,sim,nao
65,IDA*,35,47,2087869,1139.40,sim,nao
66,IDA*,43,-,50000017,26416.52,nao,sim
67,IDA*,32,50,38844758,21700.77,sim,nao
68,IDA*,35,51,7256594,4018.74,sim,nao
69,IDA*,39,53,4560287,2356.69,sim,nao
70,IDA*,32,52,36435264,20618.01,sim,nao
71,IDA*,34,44,189759,93.24,sim,nao
72,IDA*,40,56,49451474,25899.35,sim,nao
73,IDA*,39,49,1116419,514.93,sim,nao
74,IDA*,46,56,287687,177.90,sim,nao
75,IDA*,34,48,6399054,3532.07,sim,nao
76,IDA*,43,57,18474127,10311.02,sim,nao
77,IDA*,38,54,5809263,3107.99,sim,nao
78,IDA*,41,53,2438202,1255.01,sim,nao
79,IDA*,30,42,98967,61.16,sim,nao
80,IDA*,43,57,8806574,5235.62,sim,nao
81,IDA*,41,53,2260109,1100.55,sim,nao
82,IDA*,44,-,50000018,25483.06,nao,sim
83,IDA*,37,49,2137213,1076.99,sim,nao
84,IDA*,43,55,34106514,18923.00,sim,nao
85,IDA*,32,44,571932,460.77,sim,nao
86,IDA*,37,45,255188,126.17,sim,nao
87,IDA*,36,52,7460884,3930.86,sim,nao
88,IDA*,45,-,50000019,25631.50,nao,sim
89,IDA*,40,54,17030713,9108.12,sim,nao
90,IDA*,40,50,727070,337.45,sim,nao
91,IDA*,41,-,50000022,26882.05,nao,sim
92,IDA*,39,-,50000021,27690.08,nao,sim
93,IDA*,34,46,350022,205.29,sim,nao
94,IDA*,45,53,67308,35.82,sim,nao
95,IDA*,36,50,852551,602.44,sim,nao
96,IDA*,37,49,1106346,539.83,sim,nao
97,IDA*,34,44,278721,128.41,sim,nao
98,IDA*,34,-,50000026,28134.30,nao,sim
99,IDA*,39,57,22218395,11111.31,sim,nao
100,IDA*,40,54,34119126,18096.01,sim,nao
